"Enumeration Name","Entity Code","Entity Name","Deleted","Import-only","Comments","ADIF Version","ADIF Status"
"DXCC_Entity_Code","0","None (the contacted station is known to not be within a DXCC entity)","","","","3.1.7","Released"
"DXCC_Entity_Code","1","CANADA","","","","3.1.7","Released"
"DXCC_Entity_Code","2","ABU AIL IS.","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","3","AFGHANISTAN","","","","3.1.7","Released"
"DXCC_Entity_Code","4","AGALEGA & ST. BRANDON IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","5","ALAND IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","6","ALASKA","","","","3.1.7","Released"
"DXCC_Entity_Code","7","ALBANIA","","","","3.1.7","Released"
"DXCC_Entity_Code","8","ALDABRA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","9","AMERICAN SAMOA","","","","3.1.7","Released"
"DXCC_Entity_Code","10","AMSTERDAM & ST. PAUL IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","11","ANDAMAN & NICOBAR IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","12","ANGUILLA","","","","3.1.7","Released"
"DXCC_Entity_Code","13","ANTARCTICA","","","","3.1.7","Released"
"DXCC_Entity_Code","14","ARMENIA","","","","3.1.7","Released"
"DXCC_Entity_Code","15","ASIATIC RUSSIA","","","","3.1.7","Released"
"DXCC_Entity_Code","16","NEW ZEALAND SUBANTARCTIC ISLANDS","","","","3.1.7","Released"
"DXCC_Entity_Code","17","AVES I.","","","","3.1.7","Released"
"DXCC_Entity_Code","18","AZERBAIJAN","","","","3.1.7","Released"
"DXCC_Entity_Code","19","BAJO NUEVO","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","20","BAKER & HOWLAND IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","21","BALEARIC IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","22","PALAU","","","","3.1.7","Released"
"DXCC_Entity_Code","23","BLENHEIM REEF","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","24","BOUVET","","","","3.1.7","Released"
"DXCC_Entity_Code","25","BRITISH NORTH BORNEO","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","26","BRITISH SOMALILAND","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","27","BELARUS","","","","3.1.7","Released"
